,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
Mwang'ombe 2021,0.003415341014552637,0.003433870180790015,0.9828846507272364,0.0034142347048502775,0.0034238335121630323,0.003428069860407685
Mohamed et al. 2022,0.004800841404215492,0.004782769043933525,0.8534788153839088,0.073623497160894,0.004772861572539837,0.05854121543450849
Ngeno 2023,0.005062815935512357,0.005089941248912176,0.005085687718561346,0.43424972915449406,0.5454304080515079,0.005081417891012293
Muchira et al. 2023,0.0045278545075703594,0.0045566446270805675,0.6063383853753042,0.004529012933284779,0.37551854302545684,0.004529559531303306
Wasanga & Wambua 2022,0.0048017462123012816,0.004789742959437182,0.9759833718160023,0.004802774885869947,0.004832164551124241,0.00479019957526496
Mogere & Mbatanu 2025,0.004542551388673669,0.004515326171431531,0.004539457271667627,0.004522821520145353,0.00452934186413091,0.9773505017839509
Mackatiani et al. 2023,0.9746412602631307,0.005059119531184384,0.005076634532262069,0.005085202975501589,0.005061312476307344,0.005076470221613905
KNUT Report 2022,0.006709566919164077,0.006715000371759445,0.00674956342368612,0.006693607032425051,0.34508996845835566,0.6280422937946095
Cheruiyot 2024,0.004934645317696887,0.004936716320813951,0.9752473941376405,0.004973430204464476,0.004956597364192145,0.004951216655191928
Kailo et al. 2025,0.003343836113020498,0.0033532635268905234,0.20578625513767762,0.0033521992279915104,0.5033549172237001,0.2808095287707198
Keter & Wabuke 2025,0.003542490760961135,0.0034894984661679633,0.982445823856592,0.0035021115376929245,0.0035271811669836148,0.0034928942116024455
Garissa Study 2025,0.004779718428300708,0.004772414690166382,0.004782487557020068,0.9761181141123121,0.0047760388781737375,0.0047712263340270195
IJRISS 2025,0.0060121136043814125,0.0059706273157087274,0.00601329816151368,0.005974203130061842,0.9700110552548765,0.006018702533457902
Momanyi & Rop 2019,0.004085643918367305,0.0041530493569378905,0.9794557627926362,0.004104908681715171,0.004089634809739059,0.0041110004406043794
Maluha et al. 2024,0.0031504370648588955,0.0031632401978104233,0.984178457342305,0.0031520593145176,0.003181371453491574,0.003174434627016491
Njiru & Odundo 2024,0.0030366205779881416,0.984763159656342,0.003056957988653068,0.0030454823101671654,0.003051160130936216,0.003046619335913367
PWPER 2023,0.003900006979855279,0.003912387935602113,0.003935925668813693,0.003929414686710589,0.254499871132918,0.7298223935961003
TSC Plan 2023-27,0.003635285785451961,0.003646232019656881,0.003651393860784764,0.0036497972832202586,0.00364280906715597,0.9817744819837301
KICD Designs 2024,0.0029942673351915595,0.0029954985825132716,0.5894032423224399,0.002999131379472624,0.0029992244442418946,0.3986086359361406
Shulman 1986,0.0029848624147472075,0.0029879364349134543,0.9850622845993326,0.0029920642527228067,0.0029849290078552623,0.002987923290428672
Bandura 1997,0.003549985408542037,0.00357353754333044,0.0035717489182590344,0.0035525732194853837,0.003581429036658149,0.982170725873725
Fullan 2007,0.004642233916389513,0.004649561814342011,0.004652562573733039,0.004653289161304836,0.9767526425431275,0.004649709991103035
Darling-Hammond 2019,0.041754909780817584,0.0028014551699275907,0.9470495098446358,0.0027946092197051065,0.002800912966548595,0.0027986030183653767
