term,score
development,0.09930027889114092
pathway,0.08536868808998363
learner,0.08437562729350286
learning,0.08104873921880448
knowledge,0.0791398921126953
professional,0.07748001880263496
based,0.07574957887267883
assessment,0.07529809404788651
competency,0.0741948668622786
subject,0.07109058125837327
senior,0.06907457160389899
lack,0.06855856303521136
content,0.06853309866689955
professional development,0.06619799496577392
quality,0.06434421409948052
pedagogical,0.06280076280480079
delivery,0.06200284473121344
must,0.058779837748659504
support,0.05810317252037029
jss,0.056932558526190946
infrastructure,0.05626215154322779
outcomes,0.0554400359619702
classroom,0.054098733550201686
change,0.05368313933734099
service,0.05313688847566707
insufficient,0.05175903113536178
centered,0.05080620924312682
practice,0.04986434047876259
effective,0.048948086421497304
county,0.048508679598510455
programs,0.04791910964776158
competency based,0.047230419712107785
skills,0.04706065630311423
learner centered,0.04691920314822308
challenges,0.04612367549902043
approaches,0.04473695890404519
areas,0.04448936848688339
before,0.04444559458522411
teaching,0.04417124992251499
sustained,0.04355047940160885
poorly,0.04317983069021288
methods,0.042763346370735415
including,0.04268333797142096
gaps,0.04268314578164986
content knowledge,0.04211890318241074
specific,0.04197795940284451
requires,0.041918057064666565
significantly,0.041718946805494
efficacy,0.041544568281829675
program,0.04106507537900301
education,0.041062890073925475
time,0.04092972805720686
reform,0.04081420624858178
without,0.04008471270785445
self efficacy,0.03866809245148391
self,0.03866809245148391
activities,0.03843839448560229
instructional,0.03807546340828832
resources,0.037237100977926554
workshops,0.03623114571441227
community,0.03552674945237974
practices,0.03552549742109482
instruction,0.035444979913329504
requirements,0.035339049774970814
reveals,0.0351824830092439
inadequate,0.0351292747859835
digital,0.03511506674216603
new,0.03395624673828206
continuous,0.0337414284852965
peer,0.03342395266815713
national,0.03296547800363229
formative,0.032643782588152835
marginalized,0.0325748947977504
trained,0.032116280785795086
methodology,0.03200173450132877
one,0.03182405390233393
tsc,0.03158971787345083
understanding,0.03134928812827846
early,0.03126315554515911
readiness,0.030869787937537876
three,0.0307199541630099
confirms,0.030513703662680924
due,0.030486824023323693
rollout,0.030479450899525275
formative assessment,0.03047830035376874
pck,0.03020287660055325
observation,0.030058182420854344
designs,0.029940012646797805
address,0.029784579634915105
philosophy,0.029774324084327966
primary,0.02948109660164701
adequately,0.029100790820255917
model,0.02899196312962128
critical,0.02877251327532932
classroom practice,0.02855879811235175
cannot,0.02854735098472573
communities,0.027829734719125282
capacity,0.027599501688677888
engagement,0.02738203032422027
demands,0.027298072863654783
include,0.027116601751390544
design,0.02688986161982475
differentiated,0.026797401639206256
preparation,0.026644457336104446
grade,0.02648376109344032
access,0.026418158178417264
framework,0.026400695781065263
science,0.026017571295397855
competency development,0.025903934767990404
based learning,0.025767952959429796
absent,0.02556416262346995
one off,0.02533866285104562
off,0.02533866285104562
continuous professional,0.0242544523232516
evidence,0.023386140652056426
coaching,0.02332880850396936
includes,0.022945880153987012
differentiated instruction,0.022873084055373416
competencies,0.022861351714901685
professional learning,0.021038407329862337
